trapping_ans,trapping_clips
1,c0_m1_1_short.wav
2,c0_m1_2_short.wav
3,c0_m1_3_short.wav
4,c0_m1_4_short.wav
5,c0_m1_5_short.wav
1,c10_m1_1_short.wav
2,c10_m1_2_short.wav
3,c10_m1_3_short.wav
4,c10_m1_4_short.wav
5,c10_m1_5_short.wav
1,c11_m3_1_short.wav
2,c11_m3_2_short.wav
3,c11_m3_3_short.wav
4,c11_m3_4_short.wav
5,c11_m3_5_short.wav
1,c12_m2_1_short.wav
2,c12_m2_2_short.wav
3,c12_m2_3_short.wav
4,c12_m2_4_short.wav
5,c12_m2_5_short.wav
1,c2_f3_1_short.wav
2,c2_f3_2_short.wav
3,c2_f3_3_short.wav
4,c2_f3_4_short.wav
5,c2_f3_5_short.wav
1,c3_m3_1_short.wav
2,c3_m3_2_short.wav
3,c3_m3_3_short.wav
4,c3_m3_4_short.wav
5,c3_m3_5_short.wav
1,c6_f3_1_short.wav
2,c6_f3_2_short.wav
3,c6_f3_3_short.wav
4,c6_f3_4_short.wav
5,c6_f3_5_short.wav
1,c7_f3_1_short.wav
2,c7_f3_2_short.wav
3,c7_f3_3_short.wav
4,c7_f3_4_short.wav
5,c7_f3_5_short.wav
1,c8_m3_1_short.wav
2,c8_m3_2_short.wav
3,c8_m3_3_short.wav
4,c8_m3_4_short.wav
5,c8_m3_5_short.wav
1,c9_m2_1_short.wav
2,c9_m2_2_short.wav
3,c9_m2_3_short.wav
4,c9_m2_4_short.wav
5,c9_m2_5_short.wav
